"","gene 1","gene 2","gene 3","gene 4","gene 5","gene 6","gene 7","gene 8","gene 9","gene 10","gene 11","gene 12","gene 13","gene 14","gene 15","gene 16","gene 17","gene 18","gene 19","gene 20","gene 21","gene 22","gene 23","gene 24","gene 25","gene 26","gene 27","gene 28","gene 29","gene 30","gene 31","gene 32","gene 33","gene 34","gene 35","gene 36","gene 37","gene 38","gene 39","gene 40","gene 41","gene 42","gene 43","gene 44","gene 45","gene 46","gene 47","gene 48","gene 49","gene 50","gene 51","gene 52","gene 53","gene 54","gene 55","gene 56","gene 57","gene 58","gene 59","gene 60","gene 61","gene 62","gene 63","gene 64","gene 65","gene 66","gene 67","gene 68","gene 69","gene 70","gene 71","gene 72","gene 73","gene 74","gene 75","gene 76","gene 77","gene 78","gene 79","gene 80","gene 81","gene 82","gene 83","gene 84","gene 85","gene 86","gene 87","gene 88","gene 89","gene 90","gene 91","gene 92","gene 93","gene 94","gene 95","gene 96","gene 97","gene 98","gene 99","gene 100"
"spot 221",6,12,0,15,0,9,9,0,0,0,17,0,9,2,20,7,4,7,0,8,9,0,9,0,6,9,0,4,0,0,14,4,0,0,0,6,0,10,9,7,4,7,0,1,13,2,6,12,8,0,0,0,10,2,0,14,2,4,5,10,15,3,15,6,2,0,0,13,0,0,11,7,0,2,5,2,5,1,6,0,2,7,0,0,0,0,0,13,0,0,6,7,0,9,0,6,0,6,1,0
"spot 222",3,7,0,13,0,4,0,10,20,9,17,0,0,1,8,0,4,15,6,0,11,0,3,1,0,10,10,2,9,0,0,4,0,7,1,0,0,7,18,0,0,4,7,9,5,1,9,6,3,5,5,3,7,2,13,11,0,0,3,9,17,6,11,9,0,9,0,11,8,14,4,4,14,5,6,11,7,0,11,7,7,0,14,5,1,4,4,0,10,9,6,8,11,19,11,11,1,4,2,5
"spot 223",0,0,0,0,9,5,14,0,13,10,19,18,2,1,20,0,18,13,12,13,0,0,0,0,0,8,5,4,0,0,0,13,0,0,0,7,0,10,6,17,5,4,0,0,0,0,0,0,7,12,0,6,0,3,0,30,7,0,14,14,0,11,12,0,8,9,1,32,0,18,18,0,15,7,1,18,7,0,10,4,4,0,27,0,13,9,12,5,0,0,11,0,25,18,0,7,5,0,0,9
"spot 224",0,4,11,10,2,7,0,14,6,0,0,3,3,7,9,7,0,9,0,14,0,0,6,0,11,0,7,5,0,4,12,1,9,3,3,5,10,5,0,5,6,7,0,1,2,0,6,0,3,17,7,0,0,6,9,0,6,1,8,0,21,19,8,7,5,2,4,17,5,26,0,4,0,7,0,8,6,5,0,3,0,10,12,4,8,4,0,7,8,10,10,12,22,10,11,10,0,1,4,8
"spot 225",0,0,0,2,0,0,1,0,1,0,10,3,9,1,10,6,11,12,0,7,15,9,4,3,0,8,0,0,3,4,9,2,2,6,1,6,8,9,0,5,0,5,0,8,0,0,6,0,8,9,0,8,5,7,8,0,0,2,0,3,29,6,6,9,3,8,0,10,9,20,7,7,13,8,4,0,4,5,5,5,0,4,0,0,11,7,9,3,5,16,0,8,8,11,14,6,4,5,0,0
"spot 226",0,0,1,1,1,0,2,4,3,1,0,10,0,0,0,2,0,11,10,0,9,0,5,0,11,7,0,5,6,3,9,0,8,0,2,4,0,7,11,2,0,10,0,0,6,7,5,14,5,0,4,0,9,3,0,0,7,0,3,5,16,0,8,4,4,4,0,0,9,0,7,0,13,4,4,5,4,4,0,0,0,3,0,2,14,7,9,0,8,6,7,0,0,0,13,0,1,4,3,2
"spot 227",0,0,0,0,0,1,0,2,2,0,13,0,7,0,7,2,0,10,16,7,0,6,2,1,0,4,9,6,4,0,12,0,12,0,0,5,0,0,9,0,5,2,0,3,0,6,0,10,9,5,5,8,4,0,0,0,2,0,15,5,12,0,4,3,3,6,1,5,2,19,2,2,6,0,8,7,6,0,3,13,0,5,10,0,9,8,9,6,0,7,0,6,15,0,12,0,4,0,3,5
"spot 228",0,0,0,4,0,1,2,1,0,1,19,15,6,1,0,0,0,17,7,13,12,9,0,0,11,3,15,0,1,7,16,0,3,12,3,3,0,4,0,10,9,8,14,2,7,6,13,0,2,0,0,8,11,0,36,22,1,0,20,7,0,12,12,2,8,5,1,27,0,27,15,0,7,3,4,10,9,7,9,2,6,0,0,0,0,10,12,12,3,18,0,0,19,9,21,8,3,4,3,3
"spot 229",1,0,0,4,0,0,2,1,2,1,8,13,1,1,0,0,8,0,0,12,11,12,0,0,0,0,7,0,4,7,11,0,7,10,0,0,0,8,15,9,18,0,0,6,6,4,0,13,7,0,7,1,0,4,19,26,3,3,0,8,25,4,8,11,5,9,0,16,0,13,0,4,0,0,0,6,2,6,0,3,0,6,0,0,9,7,8,4,8,0,10,0,0,21,0,6,1,0,0,0
"spot 230",0,3,0,1,1,2,1,0,6,0,16,4,7,0,3,0,7,10,9,11,10,8,4,0,0,0,5,4,5,9,0,0,10,3,0,4,5,5,11,0,2,5,9,0,3,1,6,0,0,0,8,4,0,2,6,15,6,2,8,1,13,11,10,0,0,9,1,16,4,15,3,5,0,2,0,0,0,4,0,5,4,5,9,0,20,0,11,6,9,5,5,0,5,7,0,6,0,4,6,3
"spot 231",2,7,2,0,3,1,7,5,4,0,38,19,28,0,40,0,0,28,42,36,0,0,0,7,0,0,0,6,17,5,44,18,19,34,7,16,10,19,0,20,0,13,26,23,9,11,17,25,17,24,30,18,11,0,44,42,0,9,27,0,87,28,0,0,8,20,10,41,0,69,0,0,0,14,8,12,0,19,0,20,16,16,0,12,0,18,58,16,0,0,17,29,44,29,59,15,3,11,0,23
"spot 232",1,5,0,4,4,4,3,3,2,1,0,9,9,2,13,6,7,16,11,8,0,0,11,2,8,0,5,2,8,9,0,0,8,9,3,7,0,9,0,0,2,0,0,0,5,0,5,0,0,0,4,5,9,3,18,18,7,3,7,0,29,0,0,7,8,13,0,15,4,21,0,0,10,3,0,13,3,11,9,2,3,0,15,3,7,17,13,2,3,11,5,18,10,12,20,6,6,3,4,7
"spot 233",0,4,0,0,0,0,7,0,0,3,27,22,10,0,0,0,13,11,17,15,13,22,10,3,25,9,14,9,7,18,0,6,12,0,1,0,0,0,14,22,15,12,16,27,12,0,18,24,9,26,17,12,11,8,0,42,13,9,14,9,24,17,33,6,9,5,0,13,17,45,21,11,0,8,5,0,0,18,0,10,13,10,13,5,0,0,0,5,5,11,0,0,19,16,0,0,9,0,8,0
"spot 234",1,6,7,0,1,5,3,9,0,0,41,16,16,0,30,8,16,0,26,15,14,25,19,0,0,11,15,1,14,0,20,17,0,14,6,18,0,10,30,24,0,10,0,17,8,6,12,0,0,14,0,8,0,6,0,28,5,5,16,18,25,6,17,0,0,21,0,0,11,38,16,6,0,10,0,16,12,25,7,8,0,19,28,10,0,14,0,15,10,0,11,23,11,25,47,19,0,0,7,11
"spot 235",0,0,0,17,0,0,7,5,0,1,34,0,0,3,14,0,0,19,26,12,0,0,10,0,12,0,27,7,7,10,0,8,13,9,3,14,15,18,33,0,13,25,28,11,5,11,0,13,0,20,13,7,0,7,0,32,9,11,6,0,26,10,0,0,0,0,6,28,20,43,24,11,24,11,9,9,16,16,13,12,9,0,31,8,16,15,14,0,16,13,6,22,0,19,40,17,2,13,11,8
"spot 236",0,9,2,13,0,5,6,3,4,0,18,13,11,6,20,0,0,0,0,25,33,0,15,0,22,0,9,6,7,0,32,9,20,12,0,0,1,0,25,0,13,5,26,16,0,15,16,18,0,21,0,0,26,9,40,40,15,9,19,14,56,0,0,18,0,0,0,29,19,56,16,0,0,6,9,12,13,11,10,0,15,8,19,0,19,0,30,6,19,21,19,29,8,0,44,28,8,11,10,16
"spot 237",0,7,3,0,2,1,0,11,5,5,35,24,11,0,0,0,10,17,22,23,0,19,8,0,18,0,8,4,15,16,42,15,0,11,8,0,0,22,20,18,14,9,0,16,8,0,18,37,0,39,29,8,0,0,0,57,13,13,0,0,0,26,0,15,3,18,0,0,11,56,22,9,16,8,0,17,12,0,0,9,12,0,28,12,29,16,0,11,17,0,12,28,31,13,42,0,5,5,0,0
"spot 238",0,5,4,7,1,3,0,0,3,2,10,8,3,0,10,8,6,7,0,9,0,0,4,0,0,4,5,6,0,0,7,0,7,3,3,6,5,0,10,14,0,6,0,0,0,4,0,5,0,11,6,2,7,0,12,13,0,8,5,0,19,3,6,8,6,0,0,22,7,0,0,5,8,3,3,6,6,0,7,0,0,0,11,3,0,10,12,4,5,0,0,7,7,5,9,8,4,7,0,7
"spot 239",12,0,0,34,0,0,0,18,0,19,60,36,19,6,0,34,0,50,64,45,50,0,22,0,0,23,25,13,0,38,0,56,41,10,17,56,37,31,0,35,29,40,0,0,0,26,37,71,0,36,53,11,45,15,80,87,20,26,34,13,0,57,28,25,0,33,19,0,44,0,22,0,46,6,0,29,13,51,0,23,16,0,31,17,0,34,64,19,31,24,10,0,68,0,65,47,0,23,21,15
"spot 240",0,0,1,5,4,3,7,3,0,0,10,9,0,0,10,10,11,11,9,0,7,9,10,1,0,2,8,2,2,0,11,7,12,0,4,0,4,0,12,0,6,9,8,15,0,5,0,6,0,5,0,0,8,3,0,9,4,3,8,2,24,7,0,5,0,8,1,0,0,25,0,7,0,3,1,10,7,6,1,0,1,2,8,3,11,5,0,0,9,0,6,6,21,13,0,0,3,0,0,0
"spot 241",0,0,0,3,1,0,4,1,0,2,15,9,5,0,20,0,9,7,17,17,7,15,8,1,17,0,0,5,3,10,0,9,15,13,0,7,9,6,26,16,10,0,19,0,2,7,4,16,0,11,10,8,6,0,19,0,0,3,10,8,0,0,11,6,6,0,0,20,3,0,8,0,10,8,0,0,15,3,7,0,0,12,0,0,9,7,23,0,8,10,2,15,17,9,19,12,0,2,0,5
"spot 242",2,4,2,0,0,0,0,11,7,1,18,9,7,2,14,14,7,21,11,7,7,17,7,0,20,10,5,0,6,9,16,0,12,19,0,5,8,6,12,0,11,6,16,0,0,9,6,4,0,0,12,8,7,3,17,23,6,12,0,0,22,0,20,10,6,8,0,0,5,12,0,5,11,0,3,14,12,16,0,6,6,8,0,1,12,0,4,12,0,6,7,8,0,8,11,0,0,0,5,7
"spot 243",2,4,0,14,4,3,0,0,8,3,0,0,4,3,0,0,7,22,0,11,10,15,2,2,9,8,8,0,3,7,21,7,0,14,4,11,0,4,16,12,0,4,9,18,9,0,6,0,4,7,11,5,19,8,13,11,0,4,0,9,30,4,8,13,7,9,1,9,4,23,0,5,22,4,8,6,3,10,9,0,3,8,20,0,12,4,10,4,0,7,7,23,24,20,11,14,0,0,3,5
"spot 244",7,12,0,14,0,3,12,8,4,5,21,6,0,3,22,21,13,11,0,6,18,19,16,7,0,11,15,0,10,0,22,0,12,6,10,0,0,17,26,10,9,10,18,0,0,0,21,17,9,14,0,0,0,7,44,29,3,9,0,0,39,13,0,14,8,13,6,30,6,47,14,0,19,0,0,13,0,0,9,4,0,10,22,7,20,15,0,20,18,22,10,26,15,15,0,0,8,7,3,14
"spot 245",0,1,5,10,0,6,12,0,9,4,0,0,7,1,7,4,9,9,0,0,0,8,4,3,21,5,12,5,4,3,10,10,14,6,5,5,3,5,0,0,0,6,12,0,4,2,0,13,5,16,0,0,9,1,0,14,8,4,7,4,19,0,5,0,5,0,4,8,0,9,0,5,12,5,2,18,5,4,3,0,0,0,24,3,0,0,8,5,13,0,0,19,12,4,15,12,1,0,0,1
"spot 246",0,11,5,0,0,0,6,0,0,5,19,0,4,2,12,8,0,6,0,16,8,0,4,6,6,4,2,2,4,10,0,0,4,6,0,8,4,2,12,10,7,3,0,9,0,2,10,16,8,10,10,5,0,0,14,0,3,0,8,0,14,0,7,12,0,5,1,10,11,20,19,1,6,6,7,5,12,8,5,0,7,11,5,2,13,4,0,5,1,0,4,0,13,13,21,0,0,4,3,3
"spot 247",0,5,0,15,10,3,9,8,14,9,0,6,8,1,25,5,3,12,16,13,0,0,8,5,0,6,8,0,6,9,0,3,4,6,0,9,10,12,0,12,5,6,0,6,0,4,5,6,4,13,6,3,0,2,11,0,9,7,7,4,13,4,6,7,7,0,2,10,0,26,0,0,4,0,8,9,0,3,7,4,6,9,5,3,12,8,21,0,4,7,5,15,0,5,12,10,0,0,1,13
"spot 248",0,4,6,0,0,5,6,9,15,9,0,14,8,0,0,0,0,12,10,9,6,12,12,1,7,4,7,7,7,0,25,6,7,2,0,0,9,3,0,10,8,8,10,10,4,2,0,9,11,3,0,0,7,0,14,10,0,3,13,0,0,5,0,7,3,6,3,27,6,30,0,3,5,6,4,10,7,8,0,1,0,9,11,7,13,8,18,5,8,0,0,11,10,6,10,8,0,0,0,0
"spot 249",10,8,2,16,13,0,0,0,10,4,45,8,0,1,0,12,0,16,6,11,5,10,0,0,17,7,11,0,0,5,19,3,12,9,4,8,5,8,11,18,0,10,0,8,4,2,8,12,8,0,12,4,10,3,12,0,7,0,12,8,36,0,0,5,0,6,5,13,9,0,6,3,0,3,5,16,3,12,6,0,3,9,10,5,7,7,4,7,9,7,0,0,0,12,22,0,2,0,0,12
"spot 250",7,4,0,17,12,0,0,8,7,0,11,0,10,4,0,0,0,0,4,0,0,9,0,2,4,5,0,0,12,0,11,9,9,0,0,0,0,0,8,6,6,6,21,11,8,2,2,11,12,5,10,0,8,8,13,0,0,5,0,5,0,12,7,0,0,1,0,0,0,17,0,0,0,0,2,5,8,0,0,0,0,7,25,0,0,0,3,9,2,5,0,17,14,13,0,15,0,3,0,0
"spot 251",0,14,0,0,0,6,10,0,0,7,12,10,4,1,9,7,0,3,2,8,0,13,0,2,12,8,13,4,2,14,21,4,6,7,5,0,3,0,13,0,2,0,9,0,9,8,7,0,0,0,13,3,12,3,0,9,0,4,0,6,38,16,10,5,3,0,5,32,0,25,4,6,13,4,0,10,0,8,6,2,0,8,20,0,9,9,7,8,0,11,0,19,13,10,16,8,3,7,3,7
"spot 252",5,0,9,14,11,10,0,0,19,6,16,9,9,0,17,4,0,12,8,9,3,9,14,0,11,6,2,1,6,0,12,0,11,0,2,3,5,5,19,19,0,2,5,13,0,0,11,0,6,0,0,1,9,0,21,21,0,4,10,8,0,5,14,0,0,10,1,24,4,23,12,3,16,0,1,8,0,0,4,5,6,6,13,5,5,6,13,0,8,0,5,14,0,11,17,11,0,9,1,6
"spot 253",5,0,1,0,14,2,6,11,9,5,11,5,0,1,2,2,6,10,9,7,0,0,8,2,8,3,8,2,5,6,10,6,0,5,0,5,5,0,9,7,0,0,8,7,3,0,7,0,0,0,5,0,8,3,6,23,0,4,0,0,22,6,11,6,5,5,1,7,5,8,1,0,10,7,5,0,7,5,15,3,2,5,0,0,0,5,5,7,0,7,0,0,0,9,12,0,3,1,0,4
"spot 254",5,11,9,16,13,7,8,10,14,14,8,10,4,0,6,5,13,6,10,18,6,0,7,3,7,0,7,4,7,10,0,0,4,4,0,6,4,4,0,9,0,0,6,9,6,9,0,18,0,0,6,1,8,6,13,0,8,0,7,4,23,5,0,0,0,4,0,14,2,0,4,4,6,0,0,0,0,6,6,0,0,0,15,2,0,0,9,5,13,5,6,0,8,13,8,0,2,2,4,4
"spot 255",2,16,0,0,7,5,4,13,10,5,12,5,0,0,8,0,0,4,4,5,0,14,5,2,6,7,3,3,2,0,5,0,0,5,2,3,0,2,5,15,0,0,4,0,6,5,0,0,10,3,3,3,8,2,0,9,9,5,0,0,0,0,6,7,0,6,5,11,0,9,5,4,15,3,0,0,7,4,3,2,3,5,10,3,4,0,7,4,3,3,0,6,11,7,0,5,0,0,0,6
"spot 256",10,30,0,11,14,13,22,15,14,0,24,10,8,6,12,4,9,14,0,13,11,8,8,5,8,5,12,3,5,17,8,12,4,8,0,4,0,8,12,12,5,0,10,1,0,0,12,0,7,6,8,1,8,0,10,30,0,4,0,6,23,4,14,4,3,4,2,7,7,11,4,7,3,5,5,10,5,0,7,0,4,6,9,0,0,14,17,10,0,0,11,20,4,0,0,8,3,6,0,0
"spot 257",0,0,0,7,0,1,0,3,3,2,24,7,0,8,16,10,0,0,0,14,25,0,14,2,0,0,4,5,11,12,25,11,0,13,7,0,0,0,31,16,0,11,10,9,13,14,13,0,12,29,0,10,0,0,22,0,13,7,19,10,0,5,22,10,0,12,12,35,0,23,13,5,20,5,9,11,0,13,13,10,0,7,19,13,13,10,13,15,11,14,11,38,20,10,18,0,5,0,4,0
"spot 258",1,1,2,1,0,1,1,0,0,0,31,8,5,0,14,11,3,7,8,18,5,0,6,5,0,2,0,3,10,10,0,11,0,7,3,0,10,0,12,23,0,7,12,9,9,8,19,0,0,19,7,15,0,8,25,24,2,0,0,8,26,4,0,6,0,0,2,18,0,27,0,0,15,9,0,14,8,10,19,2,5,5,0,0,16,10,7,15,11,6,2,0,0,0,0,15,0,10,0,0
"spot 259",2,1,1,0,1,1,2,4,1,0,23,12,4,4,0,6,15,0,25,8,0,0,0,4,0,6,0,0,15,13,17,16,14,11,4,0,5,14,18,13,6,0,0,12,9,7,0,0,16,0,15,9,10,0,27,33,7,0,9,11,0,14,15,0,0,0,0,0,15,36,13,14,12,15,10,9,0,7,12,9,0,10,14,0,13,13,0,13,0,10,0,13,9,14,15,13,0,9,7,0
"spot 260",1,4,1,6,0,2,1,2,6,0,15,9,9,1,19,7,6,15,11,18,18,0,10,3,15,18,7,4,4,8,10,0,0,0,3,10,10,6,9,0,0,13,0,17,7,0,0,0,7,0,8,0,11,6,36,0,3,7,11,7,15,0,0,9,0,9,3,0,7,0,0,8,11,9,14,0,0,0,8,6,0,11,22,5,21,10,19,7,11,19,0,12,19,15,19,7,0,3,0,0
"spot 261",0,0,0,3,0,0,0,0,1,0,9,4,4,0,8,8,1,0,9,8,0,2,0,1,2,0,1,4,0,5,12,1,10,2,6,0,6,0,0,0,6,1,4,7,2,7,6,0,4,6,0,3,3,1,9,5,3,1,0,2,14,4,0,3,1,11,0,6,0,7,10,2,8,0,0,0,1,0,1,3,0,3,14,7,4,0,6,3,4,4,2,14,5,0,0,3,2,0,0,0
"spot 262",3,7,0,0,4,0,0,2,2,2,24,11,8,3,15,10,7,23,14,0,14,15,10,3,12,15,5,6,5,7,0,12,0,21,4,0,9,5,19,6,0,0,14,15,6,5,6,0,4,17,9,10,16,5,16,24,0,4,16,0,0,3,20,8,11,10,0,0,5,38,10,7,0,0,7,0,9,12,11,8,8,9,0,5,0,13,15,8,21,12,4,0,15,6,23,13,4,7,0,8
"spot 263",0,3,0,3,3,1,2,0,1,0,37,11,0,5,0,15,7,29,0,0,20,20,4,5,14,0,18,7,0,0,31,14,0,0,6,8,13,12,18,0,0,18,12,8,4,3,17,12,6,17,0,3,13,2,22,37,10,0,0,17,50,12,0,11,0,17,11,33,8,53,0,0,15,0,10,17,0,6,0,0,6,13,26,13,22,20,0,9,21,14,11,0,16,23,27,0,16,10,7,17
"spot 264",0,2,0,5,0,0,0,0,0,0,8,14,3,1,0,4,2,16,9,11,6,0,7,1,3,0,2,0,1,12,12,5,7,2,3,2,3,0,13,7,0,4,4,5,4,3,6,8,7,0,3,4,4,0,0,7,1,0,7,0,0,6,8,4,1,0,0,9,7,12,0,8,7,0,3,1,0,0,6,0,4,4,5,2,5,5,0,5,0,1,4,0,9,14,0,0,2,4,0,0
"spot 265",0,7,4,0,5,4,12,4,8,1,0,0,2,4,24,20,18,16,35,0,31,20,10,0,13,20,17,4,0,14,0,0,13,9,5,22,21,7,23,22,17,17,16,0,14,0,0,12,9,0,0,6,18,0,21,22,20,0,0,0,43,0,18,13,6,12,0,13,13,0,18,0,24,13,0,12,18,16,25,5,12,0,24,5,17,0,0,15,17,14,15,0,25,0,33,31,2,7,15,6
"spot 266",1,0,3,9,0,1,0,11,0,1,26,14,12,2,0,8,16,19,0,28,37,17,11,3,31,2,6,4,9,11,0,8,18,0,8,13,7,11,21,16,10,0,0,11,8,10,0,0,11,30,0,5,16,3,23,34,14,5,0,9,0,0,0,0,3,17,9,29,10,34,11,0,15,11,2,8,8,15,16,0,0,0,48,4,17,0,23,0,23,12,5,19,16,15,20,24,0,0,6,12
"spot 267",0,0,1,0,4,4,0,5,0,3,13,6,9,1,19,5,2,22,14,8,0,5,8,0,6,6,0,2,3,20,25,7,0,10,0,2,0,0,0,13,6,0,11,5,4,4,12,11,3,15,0,7,9,3,0,20,12,0,14,5,16,8,10,9,6,7,4,27,0,37,10,0,10,7,5,6,6,7,6,0,9,7,12,0,12,11,0,0,7,1,8,0,10,15,0,14,0,4,3,0
"spot 268",1,3,0,4,4,6,1,2,0,0,14,0,9,1,9,0,7,12,7,0,11,4,3,3,10,0,5,0,7,4,24,0,0,6,0,0,8,3,0,13,0,3,10,0,1,9,0,15,5,7,0,2,0,0,14,22,0,6,4,5,0,6,0,0,0,8,0,9,0,18,5,0,17,2,0,8,0,7,5,7,0,0,0,5,9,4,9,6,0,5,0,13,0,0,17,5,1,0,9,4
"spot 269",4,7,3,10,0,4,0,0,6,6,13,14,8,0,24,6,7,19,23,11,22,10,14,4,9,0,11,3,12,11,0,11,8,12,2,10,9,0,0,15,9,7,13,15,6,9,14,15,10,28,9,10,0,0,13,17,3,3,19,14,29,0,0,13,3,0,5,0,7,45,0,17,13,0,2,11,0,0,14,9,0,10,0,0,12,0,24,6,14,0,4,16,0,0,21,17,0,6,8,4
"spot 270",0,7,0,14,8,3,0,0,4,7,34,13,13,4,9,0,0,18,21,13,0,10,14,7,35,24,10,6,14,23,30,0,7,20,0,0,16,21,23,0,9,17,24,0,0,4,0,19,15,0,0,8,10,0,28,32,0,11,13,13,39,30,0,7,0,22,4,20,14,0,23,0,26,11,0,13,7,19,8,0,8,9,21,1,22,0,19,0,26,0,0,15,19,31,47,16,5,12,3,5
"spot 271",3,0,4,0,7,4,4,0,6,1,33,0,8,3,5,0,0,10,0,0,11,13,8,0,0,14,11,1,0,19,25,7,14,12,2,19,12,7,0,0,0,13,21,0,14,9,9,11,13,27,12,4,0,0,0,0,11,5,0,12,33,0,11,16,0,11,6,26,0,34,0,3,26,0,12,10,0,0,19,0,8,9,0,0,0,17,20,24,3,0,4,18,18,11,35,10,6,15,10,11
"spot 272",3,8,8,11,0,10,0,7,7,3,0,7,4,5,22,0,19,16,22,0,17,24,0,0,17,7,4,5,6,0,0,11,0,7,4,0,16,23,18,7,8,10,0,14,7,8,2,16,5,25,12,9,0,4,0,47,0,0,8,12,32,14,10,8,0,14,7,22,0,0,0,0,20,5,9,0,7,9,8,12,0,13,0,7,20,15,15,17,9,0,8,0,19,22,23,8,5,8,5,0
"spot 273",0,0,3,36,19,10,13,21,14,17,36,24,28,1,0,0,16,46,61,31,22,39,0,0,0,29,21,9,16,27,45,18,0,26,9,19,0,25,22,21,16,17,0,0,12,0,18,31,18,18,0,29,0,7,0,45,0,20,27,0,69,10,22,0,0,28,5,0,28,49,32,0,37,14,10,17,10,27,0,17,12,0,50,14,43,28,60,0,22,28,22,0,0,0,0,0,12,23,13,11
"spot 274",3,4,4,0,10,7,0,0,6,4,20,0,4,2,22,9,16,20,12,0,13,0,16,0,13,0,0,0,4,0,28,11,8,9,2,0,7,0,17,8,0,7,0,0,7,0,0,0,0,13,16,5,0,6,21,22,6,8,10,9,8,0,12,8,3,12,0,0,0,27,15,6,0,6,7,0,12,0,7,0,0,7,13,0,0,11,18,6,0,0,6,22,0,13,22,6,2,7,7,0
"spot 275",5,6,0,15,7,0,0,0,14,5,0,17,17,1,25,15,0,28,0,0,0,17,0,5,17,9,0,3,16,5,15,14,9,0,0,16,11,12,12,0,18,10,16,14,14,0,0,11,13,13,0,0,0,6,0,28,13,8,0,0,0,21,0,11,13,13,7,12,7,38,20,0,21,10,5,15,7,0,0,0,13,0,29,8,5,18,22,0,23,13,0,25,20,20,27,22,0,8,0,0
"spot 276",0,0,0,15,19,5,6,20,8,18,0,20,10,3,20,6,18,0,27,0,0,18,8,7,15,28,0,0,0,24,43,0,8,3,0,0,18,3,31,0,12,12,17,16,9,0,19,0,20,0,16,11,12,7,0,0,0,12,12,19,0,0,19,21,11,0,4,0,0,59,11,16,19,0,4,6,20,0,14,0,9,0,18,4,10,0,0,10,16,0,5,0,0,18,29,16,0,15,0,0
"spot 277",1,7,4,14,0,0,8,0,0,8,14,0,5,1,10,0,5,7,0,5,0,14,9,3,11,4,0,3,3,5,9,6,6,7,1,6,5,3,0,8,3,6,3,7,5,1,10,7,9,0,10,3,0,0,9,0,0,0,9,0,14,0,0,9,4,9,1,0,6,19,0,4,0,1,5,11,0,0,0,0,7,8,11,2,7,10,11,0,6,3,0,0,9,7,13,4,2,0,7,0
"spot 278",2,3,0,0,6,4,7,14,0,0,17,10,9,2,6,12,3,10,4,0,12,5,5,4,14,0,0,0,12,8,9,6,12,8,5,6,0,5,0,11,15,0,8,0,3,4,12,0,5,7,4,6,7,0,21,22,7,0,0,0,24,0,7,0,4,4,4,0,6,0,6,11,12,0,5,5,12,6,9,6,8,10,0,0,10,10,10,10,6,9,0,22,13,14,0,0,3,6,3,10
"spot 279",4,0,0,0,0,3,4,8,16,4,12,0,4,1,0,6,4,0,4,12,10,14,8,1,13,0,9,0,7,6,19,0,13,10,0,0,3,11,6,14,7,6,11,20,0,0,0,14,4,6,7,4,6,0,0,0,2,4,0,14,0,3,9,10,5,0,2,14,10,0,0,1,10,5,4,12,3,0,0,1,2,5,10,5,0,9,3,2,8,6,6,15,0,10,17,0,4,0,4,0
"spot 280",6,2,0,15,6,5,4,18,0,4,0,0,10,5,9,6,5,5,7,6,0,7,0,0,9,4,0,2,10,3,9,0,7,9,5,0,0,2,20,5,0,5,16,6,0,6,7,0,5,0,9,2,0,3,0,0,6,1,8,1,14,8,12,0,0,8,3,11,8,0,10,6,0,4,2,3,2,0,3,0,0,5,8,1,9,12,14,7,6,9,2,0,6,6,12,5,2,0,5,5
"spot 281",0,2,2,0,6,0,0,12,15,7,0,0,0,1,11,2,0,0,6,4,6,10,3,0,0,1,0,1,0,10,0,0,5,6,3,0,4,0,12,0,7,2,6,5,2,4,8,1,0,0,0,1,0,0,0,15,6,1,0,0,24,2,5,5,3,0,4,5,11,0,6,0,9,2,3,10,4,8,4,2,5,4,9,3,0,7,0,0,9,6,0,6,6,0,12,3,0,0,0,0
"spot 282",6,0,0,21,0,0,0,0,14,7,18,0,6,2,0,8,0,0,0,9,8,8,8,0,15,9,6,9,7,0,20,6,9,0,6,6,0,9,14,17,5,8,14,0,7,2,6,0,0,18,11,8,14,0,25,0,5,0,8,1,0,0,25,14,0,8,0,18,0,0,2,4,8,0,5,12,5,15,0,9,0,0,16,0,11,20,0,3,8,6,5,10,0,8,0,14,0,3,0,0
"spot 283",6,9,13,21,0,1,9,16,12,8,22,8,0,2,21,7,3,9,0,0,14,9,12,2,12,2,6,0,4,10,0,2,0,6,6,7,8,0,0,6,3,8,11,0,3,3,16,0,0,6,6,5,15,0,12,0,11,3,6,12,0,6,7,5,5,9,0,8,0,21,0,3,7,3,7,10,2,6,6,3,6,0,15,7,13,15,14,10,0,0,6,8,16,9,0,7,4,0,0,7
"spot 284",9,6,1,20,19,8,10,0,16,8,15,4,0,1,0,0,0,16,2,7,0,0,8,0,6,4,5,0,5,7,5,7,0,4,0,0,0,3,3,5,9,4,7,0,4,3,5,0,2,3,0,6,0,2,0,12,4,4,6,6,39,4,9,3,3,0,1,11,12,9,15,0,3,5,0,5,5,5,0,4,0,4,10,0,6,0,6,7,0,0,0,0,11,7,0,2,4,0,1,5
"spot 285",3,6,5,0,6,4,9,0,0,14,0,5,0,3,8,2,4,7,1,8,9,0,7,6,0,0,1,4,0,0,0,1,3,0,2,0,2,4,9,11,3,2,0,4,2,3,10,3,10,2,2,0,2,3,0,15,4,0,0,4,17,0,0,0,5,2,0,13,5,0,0,3,7,0,0,2,0,3,7,6,4,5,8,0,4,6,6,0,12,8,0,0,0,0,9,8,0,6,0,0
